"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2011","CLE","80","82","4.24","645","162","2","0","38","78","16","1453.1","6235","1482","760","685","153","463","34","60","42","3","1024"
"2019","ARI","85","77","4.25","719","162","0","0","45","90","24","1465.0","6230","1400","743","691","220","516","38","62","49","4","1427"
"2019","NYM","86","76","4.25","664","162","3","3","38","59","27","1461.0","6232","1405","737","690","204","500","40","60","47","2","1520"
"2015","TEX","88","74","4.25","660","162","5","3","45","94","17","1442.2","6215","1459","733","682","171","508","29","63","51","5","1095"
"2014","ARI","64","98","4.26","650","162","2","1","35","75","20","1444.1","6162","1467","742","683","154","469","43","51","50","5","1278"
"2013","TOR","74","88","4.26","649","162","4","2","39","62","19","1452.0","6250","1451","756","688","195","500","33","65","54","7","1208"
"2007","NYM","88","74","4.27","661","162","2","2","39","78","17","1452.1","6293","1415","750","689","165","570","40","61","36","3","1134"
"2009","NYY","103","59","4.28","623","162","3","1","51","74","15","1450.0","6247","1386","753","689","181","574","28","71","66","5","1260"
"2019","WSN","93","69","4.28","692","162","1","1","40","94","29","1439.1","6134","1340","724","684","202","517","41","61","53","5","1511"
"2015","MIL","68","94","4.28","658","162","1","0","40","73","14","1435.0","6148","1432","737","682","176","517","36","55","71","5","1260"
"2016","LAA","74","88","4.28","689","162","4","3","29","83","21","1421.1","6120","1480","727","676","208","498","27","56","47","10","1136"
"2008","NYY","89","73","4.28","637","162","1","0","42","79","9","1441.2","6175","1478","727","686","143","489","37","51","55","5","1141"
"2010","DET","81","81","4.29","578","162","6","1","32","60","13","1444.1","6198","1445","743","688","142","537","29","65","75","9","1056"
"2009","OAK","75","87","4.29","650","162","2","2","38","68","12","1447.1","6243","1486","761","690","156","523","30","36","43","2","1124"
"2010","CLE","69","93","4.30","632","162","10","2","34","73","16","1433.0","6224","1477","752","684","147","572","36","66","54","3","967"
"2014","CHW","73","89","4.30","615","162","3","0","36","68","21","1441.0","6255","1468","758","688","140","557","42","69","75","3","1152"
"2012","KCR","72","90","4.30","662","162","2","1","44","78","20","1451.1","6251","1504","746","693","163","542","44","60","49","8","1177"
"2007","OAK","76","86","4.30","608","162","4","1","36","66","25","1448.0","6247","1468","758","692","138","530","60","43","52","4","1036"
"2019","NYY","103","59","4.31","707","162","1","1","50","101","25","1443.0","6133","1374","739","691","248","507","12","44","55","5","1534"
"2007","COL","90","73","4.32","692","163","4","1","39","80","29","1472.0","6293","1497","758","706","164","504","61","59","35","8","967"
"2009","FLA","87","75","4.32","692","162","5","1","45","93","24","1446.1","6299","1425","766","694","160","601","60","45","59","5","1248"
"2013","SEA","71","91","4.32","610","162","4","2","43","65","23","1465.0","6256","1467","754","703","174","478","48","42","74","1","1297"
"2011","TOR","81","81","4.33","636","162","7","3","33","50","26","1458.2","6286","1433","761","701","179","540","28","77","73","3","1169"
"2018","COL","91","72","4.33","681","163","0","0","51","105","27","1452.1","6154","1377","745","699","184","525","24","52","70","8","1409"
"2013","PHI","73","89","4.34","628","162","6","2","32","55","16","1436.1","6213","1465","749","692","152","506","33","62","48","6","1199"
"2015","BOS","78","84","4.34","637","162","3","1","40","63","20","1448.1","6224","1486","753","698","178","478","17","62","79","10","1218"
"2009","DET","86","77","4.34","602","163","4","1","42","67","24","1447.0","6240","1449","745","698","182","594","42","41","48","6","1102"
"2011","CHC","71","91","4.34","657","162","4","1","40","86","24","1434.1","6262","1439","756","692","162","580","45","53","51","5","1224"
"2015","CIN","64","98","4.35","683","162","2","1","35","63","21","1453.1","6271","1436","754","702","177","544","42","58","54","11","1252"
"2009","BOS","95","67","4.35","625","162","8","2","41","72","18","1436.2","6283","1494","736","695","167","530","24","68","42","5","1230"
"2009","TBR","84","78","4.36","672","162","3","3","41","79","22","1427.1","6146","1421","754","691","183","515","22","46","46","5","1125"
"2006","FLA","78","84","4.37","600","162","6","2","41","69","27","1433.1","6294","1465","772","696","166","622","58","74","47","4","1088"
"2006","TOR","87","75","4.37","644","162","6","1","42","87","20","1428.1","6151","1447","754","694","185","504","56","59","53","13","1076"
"2009","SDP","75","87","4.37","689","162","2","1","45","92","23","1450.2","6273","1422","769","705","167","603","58","45","52","8","1187"
"2008","SFG","72","90","4.38","640","162","4","2","41","56","19","1442.0","6341","1416","759","701","147","652","59","70","77","7","1240"
"2019","SFG","77","85","4.38","749","162","1","0","41","86","22","1469.0","6256","1395","773","715","227","519","26","65","53","4","1368"
"2016","TEX","95","67","4.38","641","162","1","0","56","103","17","1443.0","6186","1441","757","703","201","534","16","53","45","5","1154"
"2009","TEX","87","75","4.38","598","162","8","3","45","77","13","1434.2","6172","1432","740","699","171","531","14","70","45","8","1016"
"2008","HOU","86","75","4.39","649","161","4","3","48","80","17","1425.1","6125","1453","743","695","197","492","53","50","22","9","1095"
"2019","MIL","89","73","4.40","750","162","0","0","50","104","27","1459.1","6251","1364","766","714","225","570","28","60","41","3","1497"
"2008","SDP","63","99","4.41","653","162","3","0","30","55","26","1458.1","6286","1466","764","714","165","561","61","38","43","4","1100"
"2018","SDP","66","96","4.41","697","162","0","0","36","83","17","1457.0","6254","1430","767","714","185","519","28","68","52","4","1399"
"2015","ATL","67","95","4.41","694","162","3","2","44","82","26","1425.1","6156","1462","760","699","170","550","45","53","53","9","1148"
"2017","TOR","76","86","4.42","740","162","2","0","45","79","26","1465.0","6316","1460","784","720","203","549","25","48","53","4","1372"
"2006","NYY","97","65","4.43","651","162","5","1","43","83","17","1443.2","6215","1463","767","710","170","496","41","59","46","7","1019"
"2006","CLE","78","84","4.43","539","162","13","6","24","40","23","1423.1","6190","1583","782","701","166","429","35","51","46","2","948"
"2013","COL","74","88","4.44","665","162","1","0","35","82","18","1436.0","6248","1545","760","708","136","517","52","40","62","15","1064"
"2011","COL","73","89","4.44","679","162","5","2","41","97","23","1447.2","6215","1471","774","714","176","522","47","48","65","7","1118"
"2009","ARI","70","92","4.44","645","162","4","1","36","46","19","1447.2","6267","1470","782","714","168","525","27","53","79","2","1158"
"2008","FLA","84","77","4.44","672","161","2","1","36","87","24","1435.1","6271","1421","767","708","161","586","66","58","59","4","1127"
"2007","MIL","83","79","4.44","654","162","3","0","49","95","20","1444.1","6285","1513","776","713","161","507","37","52","57","2","1174"
"2016","SDP","68","94","4.44","672","162","1","0","35","74","18","1440.0","6228","1425","770","711","183","569","44","53","67","3","1222"
"2011","KCR","71","91","4.45","582","162","2","0","37","58","22","1451.1","6280","1487","762","717","163","557","42","58","69","7","1080"
"2009","LAA","97","65","4.45","596","162","9","6","51","79","19","1445.0","6252","1513","761","715","180","523","35","58","67","2","1062"
"2017","SEA","78","84","4.46","689","162","1","0","39","93","26","1440.1","6132","1399","772","713","237","490","28","53","73","7","1244"
"2008","CLE","81","81","4.46","561","162","10","5","31","51","20","1437.0","6164","1530","761","712","170","444","28","51","44","5","986"
"2009","NYM","70","92","4.46","673","162","3","2","39","75","21","1426.0","6284","1452","757","707","158","616","60","55","41","10","1031"
"2009","TOR","75","87","4.47","607","162","10","4","25","50","16","1451.0","6281","1509","771","720","181","551","26","58","43","4","1181"
"2008","ATL","72","90","4.47","707","162","2","1","26","76","18","1440.2","6244","1439","778","715","156","586","80","42","42","5","1076"
"2006","ARI","76","86","4.49","623","162","8","4","34","75","20","1459.2","6341","1503","788","728","168","536","44","61","53","4","1115"
"2014","TEX","67","95","4.49","638","162","6","4","33","68","14","1426.1","6195","1510","773","712","160","505","43","61","61","7","1110"
"2009","MIN","87","76","4.50","643","163","4","1","48","82","16","1453.0","6274","1542","765","726","185","466","20","58","43","3","1052"
"2007","NYY","94","68","4.50","684","162","1","0","34","71","21","1450.2","6308","1498","777","725","150","578","33","60","59","6","1009"
"2017","SFG","64","98","4.50","664","162","3","2","32","66","22","1452.0","6287","1515","776","726","182","496","42","50","55","3","1234"
"2008","KCR","75","87","4.50","601","162","2","0","44","59","16","1445.2","6214","1473","781","723","159","515","15","41","68","5","1085"
"2018","MIN","78","84","4.50","728","162","2","1","37","83","28","1443.1","6287","1425","775","722","198","573","34","80","59","0","1377"
"2007","KCR","69","93","4.50","610","162","2","0","36","74","18","1437.1","6253","1547","778","719","168","520","54","41","56","4","993"
"2016","ATL","68","93","4.51","748","161","1","1","39","64","19","1447.2","6250","1414","779","725","177","547","55","70","83","4","1227"
"2012","CHC","61","101","4.51","655","162","1","0","28","56","21","1413.2","6140","1399","759","708","175","573","36","65","44","5","1128"
"2011","HOU","56","106","4.51","665","162","2","0","25","50","26","1435.0","6268","1477","796","719","188","560","59","53","39","9","1191"
"2017","COL","87","75","4.51","711","162","1","1","47","111","14","1437.2","6177","1453","757","721","190","532","20","50","69","10","1270"
"2016","OAK","69","93","4.51","654","162","2","1","42","66","23","1433.1","6144","1459","761","719","185","464","28","50","70","3","1188"
"2019","PHI","81","81","4.53","726","162","3","1","36","94","19","1453.2","6274","1452","794","732","258","546","38","71","45","7","1392"
"2006","CIN","80","82","4.53","638","162","9","3","36","49","24","1445.2","6319","1576","801","728","213","464","55","60","40","9","1053"
"2006","STL","83","78","4.54","630","161","6","3","38","73","19","1429.2","6196","1475","762","721","193","504","35","80","35","3","970"
"2009","HOU","74","88","4.54","659","162","5","1","39","83","26","1430.0","6237","1521","770","722","176","546","56","50","43","4","1144"
"2006","PIT","67","95","4.55","667","162","2","1","39","72","21","1435.0","6354","1545","797","725","156","620","62","70","61","6","1060"
"2008","CIN","74","88","4.55","669","162","2","1","34","58","21","1442.1","6352","1542","800","729","201","557","40","67","52","7","1227"
"2013","MIN","66","96","4.55","673","162","1","1","40","77","18","1450.1","6257","1591","788","734","168","458","31","44","50","4","985"
"2012","HOU","55","107","4.57","703","162","3","2","31","70","19","1423.1","6238","1493","794","722","173","540","40","48","75","6","1170"
"2017","PHI","66","96","4.57","668","162","1","0","33","73","24","1441.0","6235","1471","782","731","221","527","39","63","50","11","1309"
"2014","MIN","70","92","4.58","653","162","2","0","38","68","20","1435.0","6212","1588","777","730","147","408","24","45","50","6","1031"
"2007","WSN","73","89","4.58","750","162","0","0","46","95","27","1446.2","6333","1502","783","736","187","580","44","42","52","4","931"
"2007","DET","88","74","4.58","605","162","1","1","44","73","21","1447.1","6345","1498","797","737","174","566","41","68","75","8","1047"
"2010","MIL","77","85","4.59","657","162","3","3","35","86","21","1439.0","6324","1487","804","734","173","582","42","48","71","3","1258"
"2010","BAL","66","96","4.59","616","162","3","0","35","71","27","1436.1","6262","1508","785","733","186","520","45","59","45","5","1007"
"2009","PIT","62","99","4.59","617","161","5","2","28","62","17","1418.1","6144","1491","768","724","152","563","37","47","52","3","919"
"2006","ATL","79","83","4.60","684","162","6","2","38","56","29","1441.1","6350","1529","805","736","183","572","69","55","39","2","1049"
"2011","MIN","63","99","4.60","619","162","7","3","32","59","20","1421.2","6210","1564","804","726","161","480","37","54","47","5","940"
"2018","DET","64","98","4.60","704","162","0","0","37","75","24","1425.1","6130","1423","796","728","216","491","20","60","54","4","1215"
"2006","SEA","78","84","4.60","591","162","6","2","47","72","20","1446.2","6294","1500","792","739","183","560","50","53","47","6","1067"
"2017","MIN","85","77","4.60","682","162","6","3","42","82","20","1436.0","6205","1487","788","734","224","483","37","69","52","8","1166"
"2006","TEX","80","82","4.61","651","162","3","1","42","79","23","1431.1","6237","1558","784","733","162","496","18","66","34","4","972"
"2006","PHI","85","77","4.61","662","162","4","2","42","85","22","1460.1","6366","1561","812","748","211","512","63","62","58","4","1138"
"2006","CHW","90","72","4.61","560","162","5","2","46","64","17","1449.0","6232","1534","794","743","200","433","59","58","51","1","1012"
"2019","SDP","70","92","4.63","705","162","0","0","47","96","25","1432.0","6160","1394","789","737","215","463","19","68","60","6","1475"
"2017","KCR","80","82","4.63","700","162","1","1","39","94","21","1437.2","6218","1480","791","740","196","519","24","52","48","6","1216"
"2006","SFG","76","85","4.64","599","161","7","3","37","68","22","1429.2","6225","1422","790","737","153","584","37","70","50","7","992"
"2015","DET","74","87","4.64","666","161","7","4","35","49","24","1447.0","6188","1491","803","746","193","489","32","46","60","8","1100"
"2016","PHI","71","91","4.64","667","162","4","3","43","80","20","1437.0","6163","1468","796","741","213","466","30","51","57","9","1299"
"2012","TOR","73","89","4.64","657","162","5","4","29","72","15","1443.2","6216","1439","784","745","204","574","20","55","56","7","1142"
"2018","CIN","67","95","4.65","706","162","1","0","38","74","19","1441.0","6279","1491","819","745","228","532","60","50","48","8","1258"
"2006","COL","76","86","4.66","661","162","5","4","34","76","25","1447.1","6318","1549","812","749","155","553","81","66","43","2","952"
"2008","WSN","59","102","4.66","678","161","2","0","28","66","28","1434.0","6310","1496","825","743","190","588","44","51","59","8","1063"
"2007","STL","78","84","4.67","678","162","2","0","34","63","11","1435.2","6283","1514","829","745","168","509","25","73","39","6","945"
"2017","OAK","75","87","4.67","687","162","1","1","35","95","25","1431.0","6167","1444","826","743","210","502","17","61","84","3","1202"
"2015","PHI","63","99","4.69","665","162","1","1","35","53","16","1436.1","6332","1592","809","749","191","488","37","61","60","7","1153"
"2019","BOS","84","78","4.70","794","162","1","1","33","82","28","1471.0","6399","1423","828","768","215","605","22","76","81","6","1633"
"2017","SDP","71","91","4.70","679","162","2","1","45","81","17","1430.2","6169","1417","816","747","226","554","28","75","73","11","1325"
"2017","TEX","78","84","4.70","626","162","2","1","29","66","21","1434.1","6211","1443","816","749","214","559","22","74","63","7","1107"
"2007","HOU","73","89","4.70","638","162","2","1","38","65","25","1464.2","6417","1566","813","765","206","510","62","63","40","3","1109"
"2017","ATL","72","90","4.72","692","162","0","0","36","81","23","1441.1","6306","1463","821","756","192","584","39","70","58","5","1258"
"2012","BOS","69","93","4.72","651","162","6","2","35","76","22","1443.0","6209","1449","806","757","190","529","33","66","42","11","1176"
"2008","SEA","61","101","4.73","631","162","4","0","36","57","31","1435.1","6368","1544","811","754","161","626","37","53","60","5","1016"
"2019","MIA","57","105","4.74","701","162","2","2","27","55","22","1444.1","6247","1340","808","760","236","615","52","90","71","6","1378"
"2006","CHC","66","96","4.74","704","162","2","1","29","68","17","1439.0","6366","1396","834","758","210","687","44","67","68","4","1250"
"2007","TEX","75","87","4.76","629","162","0","0","42","80","14","1430.0","6389","1525","844","756","155","668","38","70","66","4","976"
"2018","MIA","63","98","4.76","707","161","1","0","30","80","22","1442.0","6236","1388","809","763","192","605","73","71","47","6","1249"
"2007","PHI","89","73","4.76","660","162","5","2","42","90","21","1458.1","6385","1555","821","772","198","558","62","72","46","3","1050"
"2012","MIN","66","96","4.77","661","162","3","1","35","63","14","1438.2","6214","1536","832","762","198","465","43","57","60","2","943"
"2008","COL","74","88","4.77","647","162","3","1","36","59","23","1446.0","6338","1547","822","766","148","562","49","53","61","7","1041"
"2007","SEA","88","74","4.77","618","162","6","4","43","74","15","1434.1","6313","1578","813","760","147","546","39","62","59","10","1020"
"2007","CHW","72","90","4.77","625","162","9","4","42","73","23","1440.2","6293","1556","839","764","174","499","50","59","45","0","1015"
"2017","CHW","67","95","4.78","682","162","0","0","25","55","15","1421.2","6200","1384","820","755","242","632","36","68","67","5","1193"
"2012","CLE","68","94","4.79","656","162","2","1","43","81","13","1442.0","6283","1503","845","767","174","543","27","55","67","6","1086"
"2019","TOR","67","95","4.79","753","162","1","0","33","72","10","1440.1","6313","1450","828","767","228","604","25","69","70","6","1332"
"2013","HOU","51","111","4.79","610","162","2","1","32","70","29","1440.0","6370","1530","848","767","191","616","32","56","61","6","1084"
"2010","ARI","65","97","4.81","616","162","3","1","35","48","24","1432.0","6260","1503","836","765","210","548","38","58","82","4","1070"
"2017","MIA","77","85","4.82","742","162","1","1","34","98","26","1442.2","6318","1450","822","772","193","627","59","75","57","3","1202"
"2006","BOS","86","76","4.83","616","162","3","1","46","80","23","1441.1","6292","1570","825","773","181","509","25","68","52","3","1070"
"2009","KCR","65","97","4.83","588","162","10","5","34","50","22","1426.0","6265","1486","842","765","166","600","28","51","89","6","1153"
"2006","MIL","75","87","4.83","589","162","7","5","43","59","24","1425.2","6210","1454","833","765","177","514","34","74","57","2","1145"
"2009","MIL","80","82","4.84","674","162","1","0","44","89","22","1435.0","6352","1498","818","772","207","607","60","65","61","1","1104"
"2018","CHW","62","100","4.85","715","162","0","0","34","67","19","1437.0","6339","1404","848","774","196","653","25","89","94","9","1259"
"2018","TOR","73","89","4.85","752","162","0","0","39","83","20","1433.2","6265","1476","832","773","208","551","19","67","71","5","1298"
"2014","COL","66","96","4.86","709","162","1","1","24","74","26","1431.0","6248","1528","818","772","173","531","32","54","72","8","1074"
"2019","CHW","72","89","4.91","697","161","6","2","33","73","16","1412.2","6159","1438","832","770","238","582","30","51","71","5","1312"
"2008","DET","74","88","4.91","602","162","1","0","34","60","28","1445.0","6411","1541","857","788","172","644","63","68","65","7","991"
"2016","CIN","68","94","4.91","646","162","2","1","28","57","25","1442.0","6348","1457","854","787","258","636","31","78","61","12","1241"
"2016","COL","75","87","4.92","695","162","2","2","37","73","28","1429.1","6289","1532","860","781","181","547","38","70","72","5","1223"
"2011","BAL","69","93","4.92","640","162","3","1","32","59","19","1446.2","6332","1568","860","791","210","535","42","45","32","4","1044"
"2018","TEX","67","95","4.92","668","162","1","0","42","90","14","1431.0","6231","1516","848","783","222","491","23","72","57","8","1121"
"2007","PIT","68","94","4.94","657","162","4","2","32","68","19","1447.2","6374","1627","846","795","174","518","55","76","45","3","997"
"2018","KCR","58","104","4.95","645","162","2","0","33","52","24","1432.0","6284","1542","833","787","205","549","28","51","68","4","1157"
"2007","CIN","72","90","4.95","684","162","6","2","34","59","28","1449.2","6354","1605","853","798","198","482","47","73","54","5","1068"
"2007","FLA","71","91","4.96","722","162","0","0","40","106","24","1443.2","6544","1617","891","795","176","661","60","76","67","9","1142"
"2006","TBD","61","101","4.97","606","162","3","2","33","47","21","1420.1","6374","1600","856","784","180","606","39","63","70","8","979"
"2017","BAL","75","87","4.97","654","162","1","1","35","58","17","1441.0","6293","1505","841","796","242","579","21","60","53","6","1233"
"2010","KCR","67","95","4.97","603","162","7","1","44","64","21","1436.2","6333","1553","845","794","176","551","28","47","55","7","1035"
"2019","SEA","68","94","5.00","700","162","3","2","34","66","29","1439.1","6268","1484","893","799","260","505","25","51","75","4","1239"
"2010","PIT","57","105","5.00","679","162","1","1","31","67","17","1411.2","6300","1567","866","785","167","538","40","66","56","10","1026"
"2017","NYM","70","92","5.01","730","162","2","0","34","73","20","1434.2","6378","1538","863","799","220","593","51","55","55","5","1374"
"2009","WSN","59","103","5.02","694","162","6","1","33","62","25","1424.1","6349","1533","874","794","173","629","59","48","74","5","911"
"2006","WSN","71","91","5.03","679","162","1","1","32","62","23","1436.1","6424","1535","872","803","193","584","93","92","47","10","960"
"2015","COL","68","94","5.04","746","162","4","1","36","99","25","1426.1","6308","1579","844","799","183","579","42","48","66","6","1112"
"2009","CLE","65","97","5.07","607","162","5","2","25","49","18","1434.0","6354","1570","865","808","183","598","31","45","49","7","986"
"2019","TEX","78","84","5.09","661","162","4","1","33","58","14","1438.0","6354","1515","878","813","241","583","11","70","68","3","1379"
"2016","MIN","59","103","5.09","695","162","4","1","26","46","20","1443.0","6314","1617","889","816","221","479","26","41","83","7","1191"
"2016","ARI","69","93","5.09","737","162","2","2","31","69","22","1451.1","6437","1563","890","821","202","603","57","57","69","7","1318"
"2008","PIT","67","95","5.10","659","162","3","2","34","65","22","1455.0","6528","1631","884","824","176","657","31","49","64","9","963"
"2019","LAA","72","90","5.12","751","162","0","0","32","72","14","1442.2","6289","1417","868","820","267","576","11","82","98","9","1404"
"2008","BAL","68","93","5.15","653","161","4","1","35","56","24","1422.0","6414","1538","869","814","184","687","44","80","72","7","922"
"2009","BAL","64","98","5.16","646","162","2","0","31","61","22","1429.0","6359","1633","876","820","218","546","45","51","31","7","933"
"2017","CIN","68","94","5.17","666","162","2","1","33","57","14","1430.0","6286","1442","869","821","248","631","37","77","62","7","1300"
"2007","BAL","69","93","5.19","652","162","4","1","30","78","25","1438.2","6418","1491","868","829","161","696","37","72","55","8","1087"
"2019","PIT","69","93","5.19","712","162","1","0","31","57","24","1440.0","6391","1511","911","830","241","584","22","85","50","4","1443"
"2018","BAL","47","115","5.19","652","162","2","0","28","54","18","1431.0","6340","1552","892","825","234","589","29","67","81","8","1203"
"2019","KCR","59","103","5.20","682","162","1","1","37","61","23","1425.0","6307","1525","869","824","221","582","25","81","59","5","1230"
"2012","COL","64","98","5.22","737","162","0","0","36","73","27","1422.0","6384","1637","890","824","198","566","61","47","94","6","1144"
"2019","DET","47","114","5.26","738","161","0","0","31","65","25","1433.0","6341","1555","915","837","250","536","24","69","66","7","1368"
"2006","BAL","70","92","5.35","634","162","5","1","35","58","21","1419.0","6327","1579","899","844","216","613","26","48","59","4","1016"
"2017","DET","64","98","5.36","672","162","2","1","32","75","23","1420.1","6298","1587","894","846","218","538","42","61","53","4","1202"
"2008","TEX","79","83","5.37","619","162","6","2","36","73","28","1442.0","6506","1647","967","860","176","625","44","72","62","9","963"
"2007","TBD","66","96","5.53","645","162","2","1","28","58","21","1429.2","6403","1649","944","879","199","568","31","63","55","2","1194"
"2019","COL","71","91","5.58","752","162","1","1","28","62","23","1448.2","6423","1576","958","898","270","589","33","57","63","7","1264"
"2019","BAL","54","108","5.67","695","162","0","0","27","57","27","1443.0","6396","1544","981","909","305","561","11","80","75","6","1248"
"2006","KCR","62","100","5.67","635","162","3","2","35","66","31","1426.1","6434","1648","971","899","213","637","45","60","85","9","904"
